Station_Name,Index_No,Basin_Office,Types_of_Station,District,Latitude,Longitude,Elemeter,AgEstdDate,NMS_EstdDate,geometry
Chameliya,-1.0,R,AWS,Darchula,29.683333,80.566667,764,,,POINT (80.566667 29.683333)
KAKERPAKHA,101.0,R,PRECIPITATION,Baitadi,29.65,80.5,842,1956-05-01,1973-01-03,POINT (80.5 29.65)
BAITADI,102.0,R,PRECIPITATION,Baitadi,29.55,80.416667,1635,1973-05-01,1973-02-03,POINT (80.416667 29.55)
PATAN (WEST),103.0,R,CLIMATOLOGY,Baitadi,29.466667,80.533333,1266,1956-05-01,1973-01-03,POINT (80.533333 29.466667)
DADELDHURA,104.0,R,SYNOPTIC,Dadeldhura,29.3,80.583333,1848,1956-05-01,1970-06-03,POINT (80.583333 29.3)
MAHENDRA NAGAR,105.0,R,AGROMETEOROLOGY,Kanchanpur,29.033333,80.216667,176,,1971-02-03,POINT (80.216667 29.033333)
BELAURI SANTIPUR,106.0,R,PRECIPITATION,Kanchanpur,28.683333,80.35,159,,1971-02-03,POINT (80.35 28.683333)
DARCHULA,107.0,R,CLIMATOLOGY,Darchula,29.85,80.566667,1097,,1974-02-03,POINT (80.566667 29.85)
SATBANJH,108.0,R,PRECIPITATION,Baitadi,29.533333,80.466667,2370,,1976-06-03,POINT (80.466667 29.533333)
PIPALKOT,201.0,R,PRECIPITATION,Bajhang,29.616667,80.866667,1456,1956-06-01,1973-01-03,POINT (80.866667 29.616667)
CHAINPUR(WEST),202.0,R,CLIMATOLOGY,Bajhang,29.55,81.216667,1304,1956-06-01,1973-01-03,POINT (81.216667 29.55)
SILGADI DOTI,203.0,R,CLIMATOLOGY,Doti,29.266667,80.983333,1360,1956-06-01,1973-01-03,POINT (80.983333 29.266667)
BAJURA,204.0,R,PRECIPITATION,Bajura,29.383333,81.316667,1400,,1976-01-03,POINT (81.316667 29.383333)
KATAI,205.0,R,PRECIPITATION,Doti,29.0,81.133333,1388,1957-12-01,1973-01-03,POINT (81.133333 29)
ASARA GHAT,206.0,R,PRECIPITATION,Achham,28.95,81.45,650,1963-03-01,1974-01-03,POINT (81.45 28.95)
TIKAPUR,207.0,R,CLIMATOLOGY,Kailali,28.533333,81.116667,140,,1976-03-03,POINT (81.116667 28.533333)
SANDEPANI,208.0,R,PRECIPITATION,Kailali,28.75,80.916667,195,1957-12-01,1973-01-03,POINT (80.916667 28.75)
DHANGADHI(ATARIYA),209.0,R,SYNOPTIC,Kaliali,28.8,80.55,187,1956-06-01,1971-02-03,POINT (80.55 28.8)
BANGGA CAMP,210.0,R,PRECIPITATION,Achham,28.966667,81.116667,340,1963-03-01,1974-12-03,POINT (81.116667 28.966667)
KHAPTAD,211.0,R,PRECIPITATION,Doti,29.383333,81.2,3430,,1976-04-03,POINT (81.2 29.383333)
SITAPUR,212.0,R,PRECIPITATION,Kailali,28.566667,80.816667,152,,1971-02-03,POINT (80.816667 28.566667)
KOLAGAUN,214.0,R,PRECIPITATION,Doti,29.116667,80.683333,1304,,1975-02-03,POINT (80.683333 29.116667)
GODAVARI(WEST),215.0,R,CLIMATOLOGY,Kailali,28.866667,80.633333,288,,1975-06-03,POINT (80.633333 28.866667)
MANGALSEN,217.0,R,PRECIPITATION,Achham,29.15,81.283333,1345,,1976-01-03,POINT (81.283333 29.15)
DIPAYAL(DOTI),218.0,R,SYNOPTIC,Doti,2915.1,8056.766667,652,,1981-12-03,POINT (8056.766667 2915.1)
OLI GAUN,220.0,R,CLIMATOLOGY,Achham,29.166667,81.283333,820,,2018-01-06,POINT (81.283333 29.166667)
MUGU,301.0,R,PRECIPITATION,Mugu,29.75,82.55,3803,1958-06-01,1973-03-03,POINT (82.55 29.75)
THIRPU,302.0,R,PRECIPITATION,Kalikot,29.316667,81.766667,1006,1956-12-01,1973-03-03,POINT (81.766667 29.316667)
JUMLA,303.0,R,SYNOPTIC,jumla,29.283333,82.166667,2300,1956-12-01,1956-11-03,POINT (82.166667 29.283333)
