,Unnamed: 0.2,Unnamed: 0.1,Unnamed: 0,start_date,disno.,historic,classification_key,disaster_group,disaster_subgroup,disaster_type,disaster_subtype,external_ids,event_name,iso,country,subregion,region,location,origin,associated_types,ofda/bha_response,appeal,declaration,aid_contribution_000_us$,magnitude,magnitude_scale,latitude,longitude,river_basin,start_year,start_month,start_day,end_year,end_month,end_day,total_deaths,no._injured,no._affected,no._homeless,total_affected,reconstruction_costs_000_us$,"reconstruction_costs,_adjusted_000_us$",insured_damage_000_us$,"insured_damage,_adjusted_000_us$",total_damage_000_us$,"total_damage,_adjusted_000_us$",cpi,admin_units,entry_date,last_update,end_date
0,0,0,0,1954-08-01,1954-0050-NPL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,,,,No,No,No,,402.5,Km2,28.35,83.83,,1954,8,1,1954,8,1,60.0,48.0,12474.0,4314.0,7750.0,,,52500000.0,,12500000.0,,8.826944322436862,,2003-07-01,2023-09-25,1954-08-01
1,1,1,1,1963-08-10,1963-0018-NPL,Yes,nat-geo-mmd-lan,Natural,Geophysical,Mass movement (dry),Landslide (dry),,,NPL,Nepal,Southern Asia,Asia,Trisuli,,,No,No,No,,402.5,,28.35,83.83,,1963,8,10,1963,8,10,150.0,48.0,12474.0,4314.0,7750.0,,,52500000.0,,12500000.0,,10.05081018599546,,2003-07-01,2023-09-25,1963-08-10
2,2,2,2,1963-11-01,1963-0033-NPL,Yes,nat-bio-epi-vir,Natural,Biological,Epidemic,Viral disease,,,NPL,Nepal,Southern Asia,Asia,,,,Yes,No,No,,402.5,Vaccinated,28.35,83.83,,1963,11,1,1963,11,1,1000.0,48.0,5000.0,4314.0,5000.0,,,52500000.0,,12500000.0,,10.05081018599546,,2003-07-01,2023-09-25,1963-11-01
3,3,3,3,1964-05-01,1964-9007-NPL,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NPL,Nepal,Southern Asia,Asia,Mountain areas,,,Yes,No,No,,402.5,Km2,28.35,83.83,,1964,5,1,1964,1,1,65.0,48.0,12474.0,4314.0,7750.0,,,52500000.0,,12500000.0,,10.179352489053484,,2006-08-08,2025-03-06,1964-01-01
4,4,4,4,1966-06-27,1966-0051-NPL,Yes,nat-geo-ear-gro,Natural,Geophysical,Earthquake,Ground movement,,,NPL,Nepal,Southern Asia,Asia,Nepal-India border,,,No,No,No,,6.3,Moment Magnitude,29.706,80.935,,1966,6,27,1966,6,27,80.0,100.0,20000.0,4314.0,20100.0,,,52500000.0,,1000000.0,9387.0,10.652497065501734,,2003-07-01,2023-09-25,1966-06-27
5,5,5,5,1967-01-01,1967-9006-NPL,Yes,nat-cli-dro-dro,Natural,Climatological,Drought,Drought,,,NPL,Nepal,Southern Asia,Asia,Western Montain,,,No,No,No,,402.5,Km2,28.35,83.83,,1967,1,1,1967,1,1,65.0,48.0,12474.0,4314.0,7750.0,,,52500000.0,,12500000.0,,10.947868220219997,,2006-11-24,2025-03-06,1967-01-01
6,6,6,6,1967-09-24,1967-0061-NPL,Yes,nat-bio-epi-bac,Natural,Biological,Epidemic,Bacterial disease,,Bubonic,NPL,Nepal,Southern Asia,Asia,Naura village,,,Yes,No,No,,402.5,,28.35,83.83,,1967,9,24,1967,9,24,17.0,48.0,24.0,4314.0,24.0,,,52500000.0,,12500000.0,,10.947868220219997,,2003-07-01,2023-09-25,1967-09-24
7,7,7,7,1968-10-04,1968-0075-NPL,Yes,nat-hyd-flo-riv,Natural,Hydrological,Flood,Riverine flood,,,NPL,Nepal,Southern Asia,Asia,East,,,Yes,No,No,,402.5,Km2,28.35,83.83,,1968,10,4,1968,10,4,276.0,48.0,1000.0,4314.0,1000.0,,,52500000.0,,300000.0,2628.0,11.415536622304986,,2003-07-01,2023-09-25,1968-10-04
8,8,8,8,1970-08-15,1970-0040-NPL,Yes,nat-hyd-flo-flo,Natural,Hydrological,Flood,Flood (General),,,NPL,Nepal,Southern Asia,Asia,South,,,Yes,No,No,,402.5,Km2,28.35,83.83,,1970,8,15,1970,8,15,350.0,48.0,20000.0,4314.0,20000.0,,,52500000.0,,12500000.0,,12.741968731355533,,2003-07-01,2023-09-25,1970-08-15
9,9,9,9,1970-09-27,1970-0052-NPL,Yes,nat-hyd-mmw-lan,Natural,Hydrological,Mass movement (wet),Landslide (wet),,,NPL,Nepal,Southern Asia,Asia,Lete,,,No,No,No,,402.5,,28.35,83.83,,1970,9,27,1970,9,27,21.0,48.0,12474.0,4314.0,7750.0,,,52500000.0,,12500000.0,,12.741968731355533,,2003-07-01,2023-09-25,1970-09-27
